"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","703","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithRequiredFields","testCreateUserWithRequiredFields",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","16","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserWithRequiredFieldsOnly","testDeleteUserWithRequiredFieldsOnly",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","32","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersOlderThan","testGetUsersOlderThan",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","24","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithAllFields","testCreateUserWithAllFields",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","36","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserSuccessfully","testDeleteUserSuccessfully",""
"failed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","14","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserSuccessfully","testUpdateUserSuccessfully",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","32","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserWithMissingRequiredField","testDeleteUserWithMissingRequiredField",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","14","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testSuccessfulUserUpload","testSuccessfulUserUpload",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","43","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testFailedUserUploadWithIncorrectZipCode","testFailedUserUploadWithIncorrectZipCode",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","32","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetAllUsers","testGetAllUsers",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","28","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithIncorrectZipCode","testCreateUserWithIncorrectZipCode",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","23","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserWithUnavailableZipCode","testUpdateUserWithUnavailableZipCode",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","13","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testFailedUserUploadWithMissingRequiredField","testFailedUserUploadWithMissingRequiredField",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","10","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testExpandZipCodesWithDuplicationsBetweenAvailableZip","testExpandZipCodesWithDuplicationsBetweenAvailableZip",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","9","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testExpandZipCodesWithDuplications","testExpandZipCodesWithDuplications",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","8","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testPostZipCodes","testPostZipCodes",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","25","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersBySex","testGetUsersBySex",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","6","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testGetZipCodes","testGetZipCodes",""
"passed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","29","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithExistingNameAndSex","testCreateUserWithExistingNameAndSex",""
"failed","Thu Jul 25 10:24:53 GMT 2024","Thu Jul 25 10:24:53 GMT 2024","8","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserOmittingRequiredField","testUpdateUserOmittingRequiredField",""
"passed","Thu Jul 25 10:24:54 GMT 2024","Thu Jul 25 10:24:54 GMT 2024","35","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersYoungerThan","testGetUsersYoungerThan",""
